# ToupTek camera catalogue — 1337 variants.
# Source: ToupTek USB camera interface specification, docs/reverse/toupcam-protocol.md §14.
# Look up by product id, not by name: one name covers revisions with different
# ids and pixel pitches. Columns: name, vid, pid, width, height, pixel_um, resolutions
ATR3CMOS16000KPB(USB2.0)	0x0547	0x11e1	4944	3260	4.78	4944x3260@10;1640x1060@20
ATR3CMOS21000KPA	0x0547	0x1258	5280	3956	3.3	5280x3956@18;3952x3952@18;2640x1978@18;1760x1318@75;584x440@215
ATR3CMOS21000KPA	0x0547	0x1473	5280	3954	3.3	5280x3954@5;3952x3952@5;2640x1976@15;1760x1316@30;576x438@215
ATR3CMOS21000KPA(USB2.0)	0x0547	0x1259	5280	3956	3.3	5280x3956@18;3952x3952@18;2640x1978@18;1760x1318@75;584x440@215
ATR3CMOS21000KPA(USB2.0)	0x0547	0x1474	5280	3954	3.3	5280x3954@5;3952x3952@5;2640x1976@15;1760x1316@30;576x438@215
ATR3CMOS45000KMA	0x0547	0x12a9	8256	5616	2.315	8256x5616@9;4128x2808@32;4096x2160@40;2048x1080@60;1360x720@95
ATR3CMOS45000KMA(USB2.0)	0x0547	0x12aa	8256	5616	2.315	8256x5616@9;4128x2808@32;4096x2160@40;2048x1080@60;1360x720@95
ATR428C	0x0547	0x1241	3200	2200	4.5	3200x2200@51;1600x1100@133
ATR428C	0x0547	0x1441	3200	2200	4.5	3200x2200@51;1600x1100@133
ATR428C(USB2.0)	0x0547	0x1242	3200	2200	4.5	3200x2200@51;1600x1100@133
ATR428C(USB2.0)	0x0547	0x1442	3200	2200	4.5	3200x2200@51;1600x1100@133
ATR428M	0x0547	0x1245	3200	2200	4.5	3200x2200@51;1600x1100@133
ATR428M	0x0547	0x15ce	3200	2200	4.5	3200x2200@51;1600x1100@133
ATR428M(USB2.0)	0x0547	0x1246	3200	2200	4.5	3200x2200@51;1600x1100@133
ATR428M(USB2.0)	0x0547	0x15cf	3200	2200	4.5	3200x2200@51;1600x1100@133
ATR432C	0x0547	0x1249	1600	1100	9	1600x1100@120
ATR432C	0x0547	0x1465	1600	1100	9	1600x1100@130
ATR432C(USB2.0)	0x0547	0x124a	1600	1100	9	1600x1100@120
ATR432C(USB2.0)	0x0547	0x1466	1600	1100	9	1600x1100@130
ATR432M	0x0547	0x124d	1600	1100	9	1600x1100@94
ATR432M	0x0547	0x14df	1600	1100	9	1600x1100@130
ATR432M(USB2.0)	0x0547	0x124e	1600	1100	9	1600x1100@94
ATR432M(USB2.0)	0x0547	0x14e0	1600	1100	9	1600x1100@130
ATR432M-GPS	0x0547	0x1645	1600	1100	9	1600x1100@130
ATR432M-GPS(USB2.0)	0x0547	0x1646	1600	1100	9	1600x1100@130
ATR533C	0x0547	0x12bb	3008	3008	3.76	3008x3008@40;1488x1500@60;992x998@180
ATR533C	0x0547	0x1426	3008	3008	3.76	3008x3008@40;1488x1500@60;992x998@180
ATR533C(USB2.0)	0x0547	0x12bc	3008	3008	3.76	3008x3008@40;1488x1500@60;992x998@180
ATR533C(USB2.0)	0x0547	0x1427	3008	3008	3.76	3008x3008@40;1488x1500@60;992x998@180
ATR533M	0x0547	0x13af	3008	3008	3.76	3008x3008@40;1488x1500@60;992x998@180
ATR533M	0x0547	0x1424	3008	3008	3.76	3008x3008@40;1488x1500@60;992x998@180
ATR533M(USB2.0)	0x0547	0x13b0	3008	3008	3.76	3008x3008@40;1488x1500@60;992x998@180
ATR533M(USB2.0)	0x0547	0x1425	3008	3008	3.76	3008x3008@40;1488x1500@60;992x998@180
ATR533M-GPS	0x0547	0x163f	3008	3008	3.76	3008x3008@40;1488x1500@60;992x998@180
ATR533M-GPS(USB2.0)	0x0547	0x1640	3008	3008	3.76	3008x3008@40;1488x1500@60;992x998@180
ATR585C	0x0547	0x1435	3840	2160	2.9	3840x2160@45;1920x1080@60
ATR585C(USB2.0)	0x0547	0x1436	3840	2160	2.9	3840x2160@45;1920x1080@60
ATR585M	0x0547	0x157c	3840	2160	2.9	3840x2160@45;1920x1080@60
ATR585M(USB2.0)	0x0547	0x157d	3840	2160	2.9	3840x2160@45;1920x1080@60
ATR585M-GPS	0x0547	0x1641	3840	2160	2.9	3840x2160@45;1920x1080@60
ATR585M-GPS(USB2.0)	0x0547	0x1642	3840	2160	2.9	3840x2160@45;1920x1080@60
ATR992M	0x0547	0x15fb	2560	2048	3.45	2560x2048@63;1280x1024@136
ATR992M(USB2.0)	0x0547	0x15fc	2560	2048	3.45	2560x2048@63;1280x1024@136
ATR992M-GPS	0x0547	0x1643	2560	2048	3.45	2560x2048@63;1280x1024@136
ATR992M-GPS(USB2.0)	0x0547	0x1644	2560	2048	3.45	2560x2048@63;1280x1024@136
BigEye10000KPA	0x0547	0x11e4	3704	2778	4.63	3704x2778@30;4096x2160@40;2760x2072@34;2048x1080@65;1360x720@85
BigEye10000KPA	0x0547	0x1330	3704	2808	4.63	3704x2808@30;4096x2160@40;2760x2072@34;2048x1080@65;1360x720@85;1852x1404@65
BigEye10000KPA	0x0547	0x13c1	3712	2808	4.63	3712x2808@30;4096x2160@30;2768x2072@34;2048x1080@40;1360x720@85;1856x1404@65
BigEye10000KPA(USB2.0)	0x0547	0x11e5	3704	2778	4.63	3704x2778@30;4096x2160@40;2760x2072@34;2048x1080@65;1360x720@85
BigEye10000KPA(USB2.0)	0x0547	0x1331	3704	2808	4.63	3704x2808@30;4096x2160@40;2760x2072@34;2048x1080@65;1360x720@85;1852x1404@65
BigEye10000KPA(USB2.0)	0x0547	0x13c2	3712	2808	4.63	3712x2808@30;4096x2160@30;2768x2072@34;2048x1080@40;1360x720@85;1856x1404@65
BigEye1300KMA	0x0547	0x132d	1280	1024	9.76	1280x1024@30;640x512@30
BigEye1300KMA(USB2.0)	0x0547	0x132e	1280	1024	9.76	1280x1024@30;640x512@30
BigEye4200KMA	0x0547	0x1205	2048	2046	6.5	2048x2046@22;1024x1022@22
BigEye4200KMA	0x0547	0x12fe	2048	2048	6.5	2048x2048@44;1024x1024@44
BigEye4200KMA(USB2.0)	0x0547	0x1206	2048	2046	6.5	2048x2046@22;1024x1022@22
BigEye4200KMA(USB2.0)	0x0547	0x12ff	2048	2048	6.5	2048x2048@44;1024x1024@44
BigEye4200KMB	0x0547	0x1203	2048	2046	6.5	2048x2046@22;1024x1022@22
